County,School,GradeTested,MathMetStandard,ReadingMetStandard,WritingMetStandard,ScienceMetStandard,MathTotalTested,ReadingTotalTested,WritingTotalTested,ScienceTotalTested,TotalEnrollment,PercentWhite,StudentsPerClassroomTeacher,FreeorReducedPricedMeals,AvgYearsEducationalExperience,PercentTeachersWithAtLeastMasterDegree
Adams,Lutacaga Elementary,5,15,33,NA,3,64,66,0,70,626,13.8978,16,78.7829,6.8,33.3
Adams,Hiawatha Elementary School,5,23,41,NA,3,74,75,0,76,621,17.7134,19,84.514,11.8,51.5
Adams,Othello High School,10,71,150,147,34,195,195,196,180,850,25.2941,13,66.0735,12.2,43.8
Adams,Scootney Springs Elementary,5,40,53,NA,11,76,75,0,79,602,23.7542,19,72.6283,12.3,40.6
Adams,Lind Jr Sr High,10,14,15,13,5,22,19,21,21,112,72.3214,9,62.963,12.8,33.3
Adams,Lind Elementary School,5,12,17,NA,7,20,22,0,22,154,66.2338,15,70.4698,15.2,40
Adams,Ritzville High School,10,17,30,28,7,32,33,33,32,125,93.6,10,31.4516,12.8,41.7
Adams,Ritzville Grade School,5,22,26,NA,8,27,28,0,30,252,88.4921,13,37.551,14.7,63.2
Asotin,Educational Opportunity Center,10,1,19,17,2,34,31,29,27,166,80.1205,28,44.2708,19.3,50
Asotin,Charles Francis Adams High School,10,91,153,140,59,188,179,179,187,788,92.132,18,33.195,15.7,69.8
Asotin,Parkway Elementary,5,16,37,NA,8,54,54,0,54,346,95.0867,16,60.5114,15.7,38.1
Asotin,Grantham Elementary,5,17,19,NA,15,23,23,0,23,223,90.583,13,79.3249,18.2,47.1
Asotin,Highland Elementary,5,15,23,NA,3,34,34,0,34,301,66.7774,14,73.2899,15.3,47.6
Asotin,Heights Elementary,5,37,51,NA,27,69,69,0,71,405,92.8395,19,26.9231,16.3,57.1
Asotin,Asotin Jr Sr High,10,27,39,37,17,40,40,40,40,285,96.8421,16,23.5294,19.4,72.2
Asotin,Asotin Elementary,5,21,28,NA,16,38,38,0,38,295,94.2373,13,39.7993,14.4,45.5
Benton,Eastgate Elementary School,5,24,33,NA,12,69,69,0,68,424,60.3774,18,19.3473,8.1,43.5
Benton,Westgate Elementary School,5,31,42,NA,5,69,69,0,72,434,52.5346,16,83.2967,11.8,57.1
Benton,Kennewick High School,10,161,280,259,86,344,352,347,327,1585,65.489,18,45.6466,14.2,62.5
Benton,Hawthorne Elementary School,5,24,44,NA,8,51,51,0,56,493,53.3469,17,85.4,13.1,51.7
Benton,Washington Elementary School,5,65,81,NA,54,87,87,0,87,398,59.799,17,53.7662,7.3,62.5
